250,87,86
245,87,85
240,84,83
235,84,81
230,83,80
225,82,80
220,79,83
215,80,80
210,78,80
205,77,78
200,75,78
195,74,76
190,73,74
185,73,72
180,72,70
175,70,68
170,71,66
165,67,68
160,66,65
155,62,63
150,62,63
145,64,61
140,66,60
135,61,59
130,57,58
125,54,56
120,51,51
115,48,48
110,47,46
105,42,42
100,40,38
95,37,36
90,33,33
85,32,30
80,28,29
75,26,25
70,23,21
65,21,20
60,18,17
65,16,14
70,15,14
75,17,15
80,19,18
85,23,20
90,26,24
95,28,27
100,31,30
105,35,33
110,36,37
115,38,41
120,42,43
125,45,45
130,47,46
135,50,50
140,53,52
145,55,54
150,57,58
155,59,58
160,60,60
165,62,61
170,62,63
175,66,66
180,66,68
185,68,69
190,68,75
195,70,78
200,71,79
205,72,79
210,73,82
215,78,81
220,78,84
225,80,85
230,84,86
235,85,86
240,87,87
245,88,89
250,89,92
